CD_CLIENTE,CIDADE,DS_SEGMENTO,DS_SUBSEGMENTO,UF,VL_TOTAL_CONTRATO,DT_ASSINATURA_CONTRATO,MRR_12M,QTD_CONTRATACOES_12M,VLR_CONTRATACOES_12M,NPS_MEDIO
TEXMZ7,COTIA,VAREJO,MATERIAL DE CONSTRUCAO,SP,"1475,55393613984",2014-04-30,81.494425,,,8.0
TDCG7V,RIODEJANEIRO,SERVICOS,VIAGENS,RJ,"2,47186813233682",2020-08-05,,,,
TDCDQ1,SERTAOZINHO,SERVICOS,PROVEDOR SERVICOS,SP,"0,17656200945263",2022-01-24,,,,
TEWPDU,SALVADOR,MANUFATURA,METAL-MECANICO & PLASTICO,BA,"294,270015754383",2016-06-23,1875.62468,,,9.0
TDCGHU,ITAPECERICADASERRA,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,SP,"169,482713645053",2020-12-30,,,,
TCA468,TANGARA,VAREJO,MATERIAL DE CONSTRUCAO,SC,"136,574918168977",2014-02-05,129.070682,,,
TDCFGP,CAMPINAS,LOGISTICA,ATACADISTA E DISTRIBUIDOR,SP,"34,1563411143481",2023-08-25,,,,
TDCG7W,SANTOANDRE,LOGISTICA,ATACADISTA E DISTRIBUIDOR,SP,"2,66944942862905",2018-10-22,,,,
TDCEDJ,SERTAOZINHO,SERVICOS,UTILITIES,SP,"92,6404048168477",2024-08-07,,,,
TEZDH4,SAOPAULO,MANUFATURA,BENS DE CAPITAL,SP,"655,801749395482",2014-12-26,118.230009,,,
TDCF7K,EMBUDASARTES,VAREJO,CONCESSIONARIA DE VEICULOS,SP,"43,6990973395259",2022-08-16,,,,
TDC868,RIBEIRAOPRETO,SERVICOS,PROVEDOR SERVICOS,SP,"8,30682215900945",2022-04-28,,,,
TDCGL8,FLORIANOPOLIS,VAREJO,VAREJO,SC,"72,3357737297953",2015-02-23,,,,
TEZBZC,CAMPINAS,SERVICOS,PROVEDOR SERVICOS,SP,"543,428438093619",2015-03-20,629.324174,2.0,4305.17033048663,8.0
TDCFHF,CARAGUATATUBA,DISTRIBUICAO,ATACADISTA E DISTRIBUIDOR,SP,"121,071092196089",2020-04-24,,,,
TEVVH1,JABOATAODOSGUARARAPES,MANUFATURA,METAL-MECANICO & PLASTICO,PE,"247,16999780421",2009-11-27,,,,
TEZBOY,DOISCORREGOS,MANUFATURA,BENS DE CAPITAL,SP,"818,701222402373",2013-12-18,165.25118,,,9.4
TDC86W,BAURU,SERVICOS,PROVEDOR SERVICOS,SP,"9,03829334102748",2021-07-07,,,,
TDCGM8,CAMPINAS,MANUFATURA,BENS DE CAPITAL,SP,"2,13135568553532",2023-10-30,,,,
TDCFHX,JAPURA,VAREJO,MATERIAL DE CONSTRUCAO,PR,"34,1563411143481",2023-09-01,,,,
TEZDHO,BEBEDOURO,AGROINDUSTRIA,SUCROENERGETICO,SP,"262,362738331872",2014-12-29,1258.670126,2.0,1368.91468628782,6.142857142857143
TDCGNJ,BELOHORIZONTE,MANUFATURA,TEXTIL & VESTUARIO,MG,"87,4486409674668",2022-07-12,,,,
TDCENE,MARINGA,VAREJO,DROGARIA,PR,"37,5488540102593",2018-01-31,,,,
TEZDIF,GOIANIA,CONSTRUCAO E PROJETOS,CONSTRUTORAS,GO,"4069,33393214633",2013-07-11,147.128298,1.0,32.5084290261235,10.0
TDCFBA,RIODEJANEIRO,CONSTRUCAO E PROJETOS,CONSTRUTORAS,RJ,"130,260724402362",2021-03-05,,,,
TDCC36,HORTOLANDIA,LOGISTICA,ATACADISTA E DISTRIBUIDOR,SP,"33,5467817959997",2023-06-15,,,,
TDCGO3,RIODEJANEIRO,SERVICOS,PROVEDOR SERVICOS,RJ,"2,62320699758193",2018-06-18,,,,
TDCG60,MANAUS,MANUFATURA,PAPEL & CELULOSE,AM,"2,84180758071376",2018-07-31,,,,
TDCG0P,SAOPAULO,MANUFATURA,QUIMICA & RECICLAGEM,SP,"6,85649136707713",2020-12-01,,,,
TDCGPY,SAOJOSEDOSCAMPOS,SERVICOS,PROVEDOR SERVICOS,SP,"35,0895974500262",2023-03-01,,,,
TEXKGO,SAOPAULO,SERVICOS,UTILITIES,SP,"1506,66248066244",2014-03-14,133.631827,,,0.0
TEWTY2,CRUZALTA,EDUCACIONAL,SUPERIOR,RS,"0,470832025207013",2021-07-01,737.830131,1.0,0.0042038573679197,9.6
TEZBXW,SAOPAULO,LOGISTICA,TRANSPORTADOR,SP,"205,093589408701",2022-03-04,811.192829,1.0,7498.07146699694,7.4
TDCGI0,CURITIBA,EDUCACIONAL,SUPERIOR,PR,"388,835787245738",2014-07-23,,,,
TDCFD9,SALGUEIRO,VAREJO,MAGAZINE E LOJA DE DEPARTAMENTOS,PE,"93,5778650098939",2022-03-08,,,,
TEZCAF,BRASILIA,SERVICOS,PROVEDOR SERVICOS,DF,"5298,42411851976",2021-02-09,561.5124,2.0,253.648142008175,6.666666666666667
TDCG8X,RIODASOSTRAS,VAREJO,MATERIAL DE CONSTRUCAO,RJ,"39,818936988936",2018-03-19,,,,
TEZDJH,BARRADESAOFRANCISCO,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,ES,"1985,59533901744",2018-04-30,174.241803,,,9.0
TDCGU4,PASSOFUNDO,VAREJO,MATERIAL DE CONSTRUCAO,RS,"68,0310237850455",2021-07-12,,,,
TDCFMC,SAOPAULO,VAREJO,MAGAZINE E LOJA DE DEPARTAMENTOS,SP,"34,1563411143481",2023-09-01,,,,
TDCGUW,CAMPINAS,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,SP,"1,77402780926214",2023-10-30,,,,
TDCFJ6,SAOPAULO,VAREJO,MATERIAL DE CONSTRUCAO,SP,"0,0462424310471174",2020-12-23,,,,
TEZCAY,DOISCORREGOS,MANUFATURA,METAL-MECANICO & PLASTICO,SP,"6,81865665076585",2018-06-13,267.85668,,,9.666666666666666
TDCFQY,GARUVA,DISTRIBUICAO,ATACADISTA E DISTRIBUIDOR,SC,"42,643929140178",2021-06-25,,,,
TDCGAY,SAOPAULO,LOGISTICA,ATACADISTA E DISTRIBUIDOR,SP,"161,423919070751",2019-10-10,,,,
TDCCLZ,NITEROI,SAUDE,CENTROS CLINICOS,RJ,"3,78347163112778",2022-04-29,,,,
TDCGTA,SAOPAULO,SERVICOS,VIAGENS,SP,"2,27428683604459",2021-07-22,,,,
TEZDLW,CAXIASDOSUL,MANUFATURA,METAL-MECANICO & PLASTICO,RS,"405,260257982201",2013-07-22,239.794896,1.0,738.306654098276,7.75
TEXYF4,BELOHORIZONTE,CONSTRUCAO E PROJETOS,INCORPORADORAS,MG,"303,085504654911",2010-12-27,128.077182,,,9.0
TEZB57,PARACATU,LOGISTICA,TRANSPORTADOR,MG,"103,276163957685",2012-11-28,,,,8.666666666666666
TEZCH0,SAOBERNARDODOCAMPO,MANUFATURA,BENS DURAVEIS,SP,"119,99910856727",2024-02-20,495.736711,3.0,611.20723043659,9.75
TDCFUP,GUARULHOS,SAUDE,CENTROS CLINICOS,SP,"122,353268693305",2023-09-29,,,,
TEXNB3,SAOBERNARDODOCAMPO,MANUFATURA,METAL-MECANICO & PLASTICO,SP,"382,752805634358",2014-08-06,180.259902,,,
TDCH4Z,SAOPAULO,VAREJO,CONCESSIONARIA DE VEICULOS,SP,"1,77402780926214",2023-11-01,,,,
TDCGB1,MANAUS,VAREJO,MATERIAL DE CONSTRUCAO,AM,"20,1785153660148",2015-08-18,,,,
TEZDNZ,MANAUS,MANUFATURA,BENS DE CAPITAL,AM,"1505,14909200999",2016-04-13,239.231174,,,8.0
TDC873,SAOPAULO,SAUDE,CENTROS CLINICOS,SP,"497,518111778568",2020-12-10,,,,
TDCGH1,PIRACICABA,MANUFATURA,QUIMICA & RECICLAGEM,SP,"44,0269982142236",2022-10-07,,,,
TDCCNZ,SAOPAULO,MANUFATURA,BENS DE CAPITAL,SP,"3,78347163112778",2021-05-31,,,,
TEZDO1,CRUZEIRODOSUL,SERVICOS,PROVEDOR SERVICOS,RS,"2064,14441393702",2010-09-30,721.803392,3.0,77749.8333529344,9.0
TEZBE4,RIODEJANEIRO,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,RJ,"2005,23996449773",2013-11-29,530.622737,,,
TDCGYE,ANAPOLIS,VAREJO,MAGAZINE E LOJA DE DEPARTAMENTOS,GO,"68,0310237850455",2021-08-17,,,,
TDCH8Z,CUIABA,HOSPITALITY,HOSPEDAGEM,MT,"105,369684926909",2023-06-19,,,,
TDCFOX,SAOPAULO,CONSTRUCAO E PROJETOS,INCORPORADORAS,SP,"0,0462424310471174",2021-12-14,,,,
TEXPOA,RECIFE,MANUFATURA,METAL-MECANICO & PLASTICO,PE,"249,128995337661",2012-02-23,44.024087,,,
TDCF3B,CRISTINA,MANUFATURA,BENS DURAVEIS,MG,"105,277200064815",2024-02-02,,,,
TDCGN7,SAOPAULO,VAREJO,SUPERMERCADO,SP,"44,0269982142236",2022-09-27,,,,
TDC9VS,UBERLANDIA,SERVICOS,PROVEDOR SERVICOS,MG,"914,822421119859",2022-05-02,,,,
TDCFP2,NATAL,VAREJO,MODA,RN,"43,6990973395259",2022-07-13,,,,
TDCFPL,SANTAMARIA,SERVICOS,VIAGENS,RS,"133,39680199883",2018-10-31,,,,
TDCCUO,RIBEIRAOBRANCO,SERVICOS,UTILITIES,SP,"3,78347163112778",2022-05-09,,,,
TEZCHF,SAOPAULO,SERVICOS,OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO,SP,"1823,30122147153",2013-04-03,,,,
TDCFTN,PORTOALEGRE,LOGISTICA,TRANSPORTADOR,RS,"43,6990973395259",2022-07-19,,,,
TDCCB8,PORTOALEGRE,CONSTRUCAO E PROJETOS,CONSTRUTORAS,RS,"0,588540031508766",2019-04-17,,,,
TEZCUV,FORTALEZA,VAREJO,MAGAZINE E LOJA DE DEPARTAMENTOS,CE,"11,5311807602039",2013-05-07,101.652794,,,
TDCG0V,SAOPAULO,VAREJO,VAREJO,SP,"27,9598553540343",2019-09-27,,,,
TDCGI8,PARACATU,CONSTRUCAO E PROJETOS,CONSTRUTORAS,MG,"68,9012222602049",2020-11-24,,,,
TB4652,ANANINDEUA,DISTRIBUICAO,ATACADISTA E DISTRIBUIDOR,PA,"1879,94399564688",2015-07-05,169.607535,,,
TEWERY,BELOHORIZONTE,MANUFATURA,BENS DURAVEIS,MG,"351,34578723863",2011-06-30,201.776006,,,
TDCACG,SAOPAULO,SERVICOS,PROVEDOR SERVICOS,SP,"262,799939498136",2023-03-24,,,,
TEZCV3,ARAGUAINA,MANUFATURA,BENS DE CONSUMO,TO,"93,1112368420548",2021-03-25,123.763278,,,6.0
TDCG1O,RIODEJANEIRO,VAREJO,VAREJO,RJ,"119,561907401006",2020-01-14,,,,
TDCGK6,CARIACICA,SAUDE,CENTROS CLINICOS,ES,"630,578605187964",2025-02-07,,,,
TDCADU,SAOJOSEDOSPINHAIS,MANUFATURA,BENS DE CAPITAL,PR,"10,3667122692901",2023-02-28,33.317146,1.0,34.5346882774608,
TEZCV6,SAOPAULO,LOGISTICA,TRANSPORTADOR,SP,"404,116808778126",2014-05-22,137.82416,,,9.6
TDCG20,VINHEDO,VAREJO,MATERIAL DE CONSTRUCAO,SP,"34,1563411143481",2023-08-25,,,,
TEZCK6,QUIXADA,EDUCACIONAL,EDUCACAO CONTINUADA,CE,"435,87695119276",2018-09-27,1628.485037,,,8.0
TEZDPI,IBIRITE,CONSTRUCAO E PROJETOS,ENGENHARIA & DESIGN,MG,"626,572329116337",2018-01-29,191.698125,,,10.0
TDCCEM,GOIANIA,LOGISTICA,ATACADISTA E DISTRIBUIDOR,GO,"0,588540031508766",2021-03-03,,,,
TDCH86,RIODEJANEIRO,SERVICOS,OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO,RJ,"68,0310237850455",2022-06-30,,,,
TEZCVK,PEDERNEIRAS,MANUFATURA,EXTRATIVISTA & BENEFICIAMENTO,SP,"453,171620404382",2023-06-05,1138.213191,2.0,833.503004194819,9.6
TDCGN0,BELOHORIZONTE,SERVICOS,VIAGENS,MG,"119,309675958931",2024-04-12,,,,
TDCFLI,SALVADOR,SERVICOS,UTILITIES,BA,"63,3773536787583",2021-01-27,,,,
TDCG9O,JOINVILLE,VAREJO,MAGAZINE E LOJA DE DEPARTAMENTOS,SC,"92,6404048168477",2024-04-03,,,,
TEXNBJ,SAOPAULO,LOGISTICA,ATACADISTA E DISTRIBUIDOR,SP,"3901,17963742954",2012-02-08,110.756856,,,
TDCD02,SAOPAULO,VAREJO,MAGAZINE E LOJA DE DEPARTAMENTOS,SP,"3,78347163112778",2022-03-30,,,,
TEZDR4,ARAPIRACA,VAREJO,MODA,AL,"1616,12251880834",2022-10-28,75.078251,1.0,276.441456657035,10.0
TDCCFK,SAOPAULO,SERVICOS,PROVEDOR SERVICOS,SP,"2,87964229702504",2020-08-03,,,,
TDCHA0,SALVADOR,SERVICOS,PROVEDOR SERVICOS,BA,"75,7997522009612",2024-08-09,,,,
TEXCMR,DIVINOPOLIS,DISTRIBUICAO,ATACADISTA E DISTRIBUIDOR,MG,"252,231442075186",2011-09-27,124.0146,,,9.0
TDCFLQ,INDAIATUBA,EDUCACIONAL,EDUCACAO CONTINUADA,SP,"2,66104171389321",2022-05-18,,,,
TDCGYS,SAOPAULO,SERVICOS,PROVEDOR SERVICOS,SP,"66,9464285841222",2017-12-31,,,,
TC2735,SONORA,VAREJO,DROGARIA,MS,"119,624965261525",2017-08-04,49.058368,,,9.0
TEZDSL,SAOPAULO,SERVICOS,PROVEDOR SERVICOS,SP,"2501,63144250169",2014-09-29,471.976599,,,8.25
TDCC3U,SAOPAULO,EDUCACIONAL,BASICO,SP,"86,183279899723",2022-06-24,,,,
TEZBRQ,SAOBERNARDODOCAMPO,MANUFATURA,BENS DE CONSUMO,SP,"3312,93807979389",2017-01-30,2834.712792,4.0,21314.9399244272,
TDCGZD,JOINVILLE,SERVICOS,PROVEDOR SERVICOS,SC,"2,76193429072328",2022-06-30,,,,
TDCGJP,RIODEJANEIRO,MANUFATURA,BENS DE CAPITAL,RJ,"1,43351536246064",2019-12-26,,,,
TEZCPQ,RIODASOSTRAS,VAREJO,MATERIAL DE CONSTRUCAO,RJ,"106,777977145162",2013-04-30,117.093277,,,
TEZDT9,GURUPI,AGROINDUSTRIA,GRAOS,TO,"73,4666113617657",2013-08-09,407.487083,,,9.5
TDCG3Q,BARUERI,SERVICOS,PROVEDOR SERVICOS,SP,"2,23645211973331",2021-12-08,,,,
TDCC7Q,SAOLUIS,VAREJO,MODA,MA,"23,3944662524735",2023-05-16,,,,
TDCHBK,SAOPAULO,SERVICOS,PROVEDOR SERVICOS,SP,"75,7997522009612",2024-08-28,,,,
TDCFZA,GUARUJA,CONSTRUCAO E PROJETOS,CONSTRUTORAS,SP,"21,0571215559101",2024-07-23,,,,
TDCH1R,SAOPAULO,SERVICOS,OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO,SP,"31,2598833878513",2022-06-23,,,,
