CD_CLIENTE,cluster,RECOMENDACOES
T43952,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T49525,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, TOTVS TEC USER"
T43130,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T44141,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T43157,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T43841,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T44478,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T45067,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, TEF TOTVS CLOUD PDV PRINCIPAL"
T36158,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS USUARIO RETAGUARDA WT"
T36316,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T45453,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T21852,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, SMS LGT COMPRAS E SUPRIM TRAD"
T41415,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T45551,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T41869,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T45825,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T49594,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT COMPRAS E SUPRIM TRAD, CDU CORP ADIC MNT ATIVOS PARC"
T45940,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, SMS LGT COMPRAS E SUPRIM TRAD"
T34551,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS TOTVS I TRAD"
T46162,5,"VHF - PMS HOSPITALIDADE, EMISSOR FISCAL NFC-E, CONTAS A PAGAR / TESOURARIA -"
T45686,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T36699,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T42247,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS TOTVS I TRAD"
T49634,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T45963,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, PROG OPED STUDIO ND USR MNT"
T42308,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T44012,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T29501,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T49804,5,"EMISSOR FISCAL NFC-E, PONTO DE VENDA  POS ADM + 1ID, CONTAS A PAGAR / TESOURARIA -"
T49938,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T45525,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T46479,5,"FATURA HOTEL, FISCAL FLEXX, VHF - PMS HOSPITALIDADE"
T42559,1,"SMS LGT FINANCEIRO TRAD, SMS LGT COMPRAS E SUPRIM TRAD, SMS TOTVS I TRAD"
T45630,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T36201,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T46046,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T21757,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, TOTVS TEC USER"
T50168,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T37851,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T50331,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS USUARIO RETAGUARDA WT"
T50467,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T43460,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T38653,1,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, CDU CORP TOTVS CONSTRUCAO RB2"
T43026,5,"CONTAS A PAGAR, CONTAS A RECEBER, CONTROLE FINANCEIRO"
T50536,5,"EMISSOR FISCAL NFC-E, PONTO DE VENDA  POS ADM + 1ID, PONTO DE VENDA  POS > 1 ID"
T50734,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, SMS LGT COMPRAS E SUPRIM TRAD"
T47026,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T43356,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T46735,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T50743,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T46391,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T46764,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS USUARIO RETAGUARDA WT"
T46585,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T47759,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T44252,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T50749,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T50754,1,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, CDU CORP TOTVS CONSTRUCAO RB2"
T46506,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, PROG OPED STUDIO ND USR MNT"
T44338,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS TOTVS I TRAD"
T44505,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T50901,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, SMS LGT COMPRAS E SUPRIM TRAD"
T47844,5,"VHF - PMS HOSPITALIDADE, CONTAS A PAGAR / TESOURARIA -, CONTAS A RECEBER / COBRANCA BA"
T51025,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T51425,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T45609,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS TOTVS I TRAD"
T42110,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T47953,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, SMS LGT COMPRAS E SUPRIM TRAD"
T48771,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T45304,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T51665,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T47526,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T39822,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T51682,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, CDU CORP ADIC MNT ATIVOS PARC"
T47723,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T18412,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS USUARIO RETAGUARDA WT"
T48834,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T51706,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, CDU CORP ADIC MNT ATIVOS PARC"
T49216,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T51726,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T48345,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS USUARIO RETAGUARDA WT"
T43055,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC."
T42367,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T48590,1,"CDU CORP TOTVS CONSTRUCAO RB2, CDU CORP ADIC MNT ATIVOS PARC, CDU CORPORATIVO RB1"
T47910,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T52097,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T52252,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T48647,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T49747,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T52450,1,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, CDU CORP TOTVS CONSTRUCAO RB2"
T37142,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T49920,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T52565,3,"SMS TOTVS TEC USER, SMS FULL TOTVS TRAD, SMS TOTVS I TRAD"
T40380,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T48463,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T37962,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T49923,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T52694,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS TOTVS I TRAD"
T52926,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T48228,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T49030,3,"SMS TOTVS TEC USER, SMS FULL TOTVS TRAD, SMS TOTVS I TRAD"
T49304,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T39536,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T53093,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T47387,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, TOTVS TEC USER"
T43722,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T53095,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T49150,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T53231,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, SMS LGT COMPRAS E SUPRIM TRAD"
T49295,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T50945,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T53290,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T49410,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T47528,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T53335,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T50232,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS USUARIO RETAGUARDA WT"
T29956,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T51026,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T53336,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T49758,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS TOTVS I TRAD"
T51053,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T51217,1,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T53339,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS USUARIO RETAGUARDA WT"
T51535,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T53357,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T50010,5,"CONTAS A PAGAR, CONTAS A RECEBER, CONTROLE FINANCEIRO"
T51553,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, CDU CORP ADIC MNT ATIVOS PARC"
T53401,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T47747,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS USUARIO RETAGUARDA WT"
T51652,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T53460,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T50142,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T53516,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T53550,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC."
T50149,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T50750,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T50223,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T43391,5,"CONTAS A PAGAR, CONTAS A RECEBER, CONTROLE FINANCEIRO"
T53570,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T53645,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T44001,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T50372,1,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T50564,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T23757,1,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T53658,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T51693,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T53751,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T50843,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T42326,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS TOTVS I TRAD"
T54038,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T50725,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T44188,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T54060,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T51729,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T51907,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T54068,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T47965,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC."
T49209,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T54131,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T45356,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T51520,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T48579,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS TOTVS I TRAD"
T54204,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, SMS LGT COMPRAS E SUPRIM TRAD"
T28475,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T54237,1,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T54252,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T52576,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T54263,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T54271,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T50813,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS TOTVS I TRAD"
T51800,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T43322,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T50884,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T51839,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T52235,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T54276,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, SMS LGT COMPRAS E SUPRIM TRAD"
T48229,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T44286,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T53161,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T54306,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T49440,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T54414,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T52933,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T46027,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS TOTVS I TRAD"
T49954,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T54415,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T49571,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T53295,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS TOTVS I TRAD"
T54544,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T51646,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T45321,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC."
T54615,1,"CDU CORP TOTVS CONSTRUCAO RB2, CDU CORP ADIC MNT ATIVOS PARC, CDU CORPORATIVO RB1"
T28266,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T54797,1,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T37194,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, SMS LGT COMPRAS E SUPRIM TRAD"
T52685,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T49990,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T53393,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T54815,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T53268,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T54838,1,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, CDU CORP TOTVS CONSTRUCAO RB2"
T52846,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T54928,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T53407,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T55140,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS TOTVS I TRAD"
T37701,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS FULL TOTVS TRAD"
T53366,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T50368,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., CONSINCO NFC-E SUBSC. POR PDV"
T48850,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, TOTVS TEC USER"
T53440,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T53560,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS TOTVS I TRAD"
T53010,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T50869,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T51925,5,"FISCAL FLEXX, VHF - PMS HOSPITALIDADE, HIGS - INTEGRACOES"
T53021,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T55219,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T51945,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, SMS LGT COMPRAS E SUPRIM TRAD"
